gameId,day,week,month,age,Addiction coefficient,social_activities,award_4_login,award_4_level
99,24.0,168.0,720.0,40,0.9,1,0,1
63,21.713606709985505,100.9770681875214,716.9495758153241,40,0.8534587595381016,1,0,1
66,1.068460030874447,69.44472090825892,316.0922698432324,77,0.4029599825456355,1,0,0
21,9.577033897590118,143.3307332687317,567.5499449211247,43,0.7573684320541663,0,1,1
44,18.924069272815796,157.62859402480225,408.10240932982254,85,0.538306644416852,1,0,0
91,4.91956548765462,124.57639887504584,456.7492555771927,8,0.5541154579170533,0,1,0
22,19.00661076842082,138.67170870400042,64.16348802797975,90,0.2457536359420449,0,0,1
61,19.855916658540067,7.767207174783359,439.2403078449159,88,0.4661518620129369,0,0,1
46,13.490928482058953,21.708708969215326,90.56241545659498,42,0.29012953658038326,1,0,1
11,8.561343020643326,152.06913047677213,255.06637830758703,11,0.5083144389026926,1,1,0
3,13.6083735636303,158.21278680284652,640.357384659521,26,0.9270420183544774,1,1,1
17,14.960920810030764,31.01477529345915,282.7598854248674,8,0.35301992885841316,0,1,0
97,9.057170031432719,128.47919595238682,107.44790220971038,90,0.3727535906477356,0,1,1
53,3.7043130919953002,140.02722610280665,412.53117611707165,27,0.7279628418673199,1,1,1
12,10.287115259332431,81.5286827063867,497.01283745046794,41,0.5597360855065301,0,0,1
54,16.624272003014433,106.11187101879528,605.7844512022498,76,0.7654087077426934,0,1,1
61,13.408634675158364,134.4516785068273,203.67988735781728,4,0.5557565991257187,1,1,1
12,14.011359262700456,5.574941684246939,543.8032119879264,22,0.5489592714519376,0,0,1
32,0.1927543511447949,140.1771302461821,246.25633840725382,50,0.2920223643297252,0,0,0
87,4.18666056381218,24.160944606730535,378.1786188372342,82,0.4245359574543374,1,0,0
28,19.817806994732145,13.685415131548442,96.72557623055928,64,0.09095231472802738,0,0,0
31,9.057631313358481,77.4369603244259,224.41099993494674,44,0.4347770788175179,1,0,1
8,8.524566833843945,61.2275410910803,575.434101326764,75,0.7101079298143365,1,0,1
46,20.566719561436415,7.578206168640871,566.5941448496967,23,0.6699011145109726,1,0,1
21,11.869071509916154,99.05305749159832,641.1594394856573,32,0.78885357291276,1,0,1
24,0.38025117158339405,109.48598005423614,215.46573896914344,38,0.24696392140688356,0,0,0
65,22.927791366172947,140.1611809109521,290.3307999952627,83,0.3316244321439493,0,0,0
82,9.48385437822239,162.50413614094043,680.6246955110893,85,0.8619731642337527,0,1,1
54,3.2798423975419224,112.21768482204322,388.9719371495647,59,0.5905742986972712,1,0,1
